cat,pid,tid,dur,ts,ph,name,args_op_name,op_name,args_thread_scheduling_stats,args_input_type_shape,args_parameter_size,args_activation_size,args_node_index,args_output_size,args_provider,args_output_type_shape
Node,715047,715047,0,4630,X,Squeeze_2_fence_before,Squeeze,Squeeze_2,,,,,,,,
Node,715047,715047,13,4637,X,Squeeze_2_kernel_time,Squeeze,Squeeze_2,"{'main_thread': {'thread_pool_name': 'session-2-intra-op', 'thread_id': '139965577762624', 'block_size': [], 'core': -1, 'Distribution': 0, 'DistributionEnqueue': 0, 'Run': 0, 'Wait': 0, 'WaitRevoke': 0}, 'sub_threads': {'139960367707904': {'num_run': 0, 'core': -1}, '139960921331456': {'num_run': 0, 'core': -1}, '139960929724160': {'num_run': 0, 'core': -1}, 'thread::id of a non-executing thread': {'num_run': 0, 'core': -1}, '139964713457408': {'num_run': 0, 'core': -1}, '139964671510272': {'num_run': 0, 'core': -1}, '139962228516608': {'num_run': 0, 'core': -1}, '139962220123904': {'num_run': 0, 'core': -1}, '139962211731200': {'num_run': 0, 'core': -1}, '139962203338496': {'num_run': 0, 'core': -1}, '139961575667456': {'num_run': 0, 'core': -1}, '139961567274752': {'num_run': 0, 'core': -1}, '139961558882048': {'num_run': 0, 'core': -1}, '139961550489344': {'num_run': 0, 'core': -1}, '139961542096640': {'num_run': 0, 'core': -1}, '139961533703936': {'num_run': 0, 'core': -1}, '139961525311232': {'num_run': 0, 'core': -1}, '139960971687680': {'num_run': 0, 'core': -1}, '139960963294976': {'num_run': 0, 'core': -1}, '139960954902272': {'num_run': 0, 'core': -1}, '139960946509568': {'num_run': 0, 'core': -1}, '139960359315200': {'num_run': 0, 'core': -1}}}","[{'float': [2, 1]}, {'int64': [1]}]",8,8,2,8,CPUExecutionProvider,[{'float': [2]}]
Node,715047,715047,0,4654,X,Squeeze_2_fence_after,Squeeze,Squeeze_2,,,,,,,,
Node,715047,715047,0,4657,X,Sub_5_fence_before,Sub,Sub_5,,,,,,,,
Node,715047,715047,13,4658,X,Sub_5_kernel_time,Sub,Sub_5,"{'main_thread': {'thread_pool_name': 'session-2-intra-op', 'thread_id': '139965577762624', 'block_size': [], 'core': -1, 'Distribution': 0, 'DistributionEnqueue': 0, 'Run': 0, 'Wait': 0, 'WaitRevoke': 0}, 'sub_threads': {'139960367707904': {'num_run': 0, 'core': -1}, '139960921331456': {'num_run': 0, 'core': -1}, '139960929724160': {'num_run': 0, 'core': -1}, 'thread::id of a non-executing thread': {'num_run': 0, 'core': -1}, '139964713457408': {'num_run': 0, 'core': -1}, '139964671510272': {'num_run': 0, 'core': -1}, '139962228516608': {'num_run': 0, 'core': -1}, '139962220123904': {'num_run': 0, 'core': -1}, '139962211731200': {'num_run': 0, 'core': -1}, '139962203338496': {'num_run': 0, 'core': -1}, '139961575667456': {'num_run': 0, 'core': -1}, '139961567274752': {'num_run': 0, 'core': -1}, '139961558882048': {'num_run': 0, 'core': -1}, '139961550489344': {'num_run': 0, 'core': -1}, '139961542096640': {'num_run': 0, 'core': -1}, '139961533703936': {'num_run': 0, 'core': -1}, '139961525311232': {'num_run': 0, 'core': -1}, '139960971687680': {'num_run': 0, 'core': -1}, '139960963294976': {'num_run': 0, 'core': -1}, '139960954902272': {'num_run': 0, 'core': -1}, '139960946509568': {'num_run': 0, 'core': -1}, '139960359315200': {'num_run': 0, 'core': -1}}}","[{'float': [2]}, {'float': [2]}]",0,16,5,8,CPUExecutionProvider,[{'float': [2]}]
Node,715047,715047,0,4675,X,Sub_5_fence_after,Sub,Sub_5,,,,,,,,
Node,715047,715047,0,4679,X,Pow_6_fence_before,Pow,Pow_6,,,,,,,,
Node,715047,715047,20,4680,X,Pow_6_kernel_time,Pow,Pow_6,"{'main_thread': {'thread_pool_name': 'session-2-intra-op', 'thread_id': '139965577762624', 'block_size': [], 'core': -1, 'Distribution': 0, 'DistributionEnqueue': 0, 'Run': 0, 'Wait': 0, 'WaitRevoke': 0}, 'sub_threads': {'139960367707904': {'num_run': 0, 'core': -1}, '139960921331456': {'num_run': 0, 'core': -1}, '139960929724160': {'num_run': 0, 'core': -1}, 'thread::id of a non-executing thread': {'num_run': 0, 'core': -1}, '139964713457408': {'num_run': 0, 'core': -1}, '139964671510272': {'num_run': 0, 'core': -1}, '139962228516608': {'num_run': 0, 'core': -1}, '139962220123904': {'num_run': 0, 'core': -1}, '139962211731200': {'num_run': 0, 'core': -1}, '139962203338496': {'num_run': 0, 'core': -1}, '139961575667456': {'num_run': 0, 'core': -1}, '139961567274752': {'num_run': 0, 'core': -1}, '139961558882048': {'num_run': 0, 'core': -1}, '139961550489344': {'num_run': 0, 'core': -1}, '139961542096640': {'num_run': 0, 'core': -1}, '139961533703936': {'num_run': 0, 'core': -1}, '139961525311232': {'num_run': 0, 'core': -1}, '139960971687680': {'num_run': 0, 'core': -1}, '139960963294976': {'num_run': 0, 'core': -1}, '139960954902272': {'num_run': 0, 'core': -1}, '139960946509568': {'num_run': 0, 'core': -1}, '139960359315200': {'num_run': 0, 'core': -1}}}","[{'float': [2]}, {'float': []}]",4,8,6,8,CPUExecutionProvider,[{'float': [2]}]
Node,715047,715047,0,4704,X,Pow_6_fence_after,Pow,Pow_6,,,,,,,,
Node,715047,715047,0,4707,X,ReduceSum_7_fence_before,ReduceSum,ReduceSum_7,,,,,,,,
Node,715047,715047,12,4709,X,ReduceSum_7_kernel_time,ReduceSum,ReduceSum_7,"{'main_thread': {'thread_pool_name': 'session-2-intra-op', 'thread_id': '139965577762624', 'block_size': [], 'core': -1, 'Distribution': 0, 'DistributionEnqueue': 0, 'Run': 0, 'Wait': 0, 'WaitRevoke': 0}, 'sub_threads': {'139960367707904': {'num_run': 0, 'core': -1}, '139960921331456': {'num_run': 0, 'core': -1}, '139960929724160': {'num_run': 0, 'core': -1}, 'thread::id of a non-executing thread': {'num_run': 0, 'core': -1}, '139964713457408': {'num_run': 0, 'core': -1}, '139964671510272': {'num_run': 0, 'core': -1}, '139962228516608': {'num_run': 0, 'core': -1}, '139962220123904': {'num_run': 0, 'core': -1}, '139962211731200': {'num_run': 0, 'core': -1}, '139962203338496': {'num_run': 0, 'core': -1}, '139961575667456': {'num_run': 0, 'core': -1}, '139961567274752': {'num_run': 0, 'core': -1}, '139961558882048': {'num_run': 0, 'core': -1}, '139961550489344': {'num_run': 0, 'core': -1}, '139961542096640': {'num_run': 0, 'core': -1}, '139961533703936': {'num_run': 0, 'core': -1}, '139961525311232': {'num_run': 0, 'core': -1}, '139960971687680': {'num_run': 0, 'core': -1}, '139960963294976': {'num_run': 0, 'core': -1}, '139960954902272': {'num_run': 0, 'core': -1}, '139960946509568': {'num_run': 0, 'core': -1}, '139960359315200': {'num_run': 0, 'core': -1}}}",[{'float': [2]}],0,8,7,4,CPUExecutionProvider,[{'float': []}]
Node,715047,715047,0,4725,X,ReduceSum_7_fence_after,ReduceSum,ReduceSum_7,,,,,,,,
Node,715047,715047,0,4728,X,Add_15_fence_before,Add,Add_15,,,,,,,,
Node,715047,715047,15,4729,X,Add_15_kernel_time,Add,Add_15,"{'main_thread': {'thread_pool_name': 'session-2-intra-op', 'thread_id': '139965577762624', 'block_size': [], 'core': -1, 'Distribution': 0, 'DistributionEnqueue': 0, 'Run': 0, 'Wait': 0, 'WaitRevoke': 0}, 'sub_threads': {'139960367707904': {'num_run': 0, 'core': -1}, '139960921331456': {'num_run': 0, 'core': -1}, '139960929724160': {'num_run': 0, 'core': -1}, 'thread::id of a non-executing thread': {'num_run': 0, 'core': -1}, '139964713457408': {'num_run': 0, 'core': -1}, '139964671510272': {'num_run': 0, 'core': -1}, '139962228516608': {'num_run': 0, 'core': -1}, '139962220123904': {'num_run': 0, 'core': -1}, '139962211731200': {'num_run': 0, 'core': -1}, '139962203338496': {'num_run': 0, 'core': -1}, '139961575667456': {'num_run': 0, 'core': -1}, '139961567274752': {'num_run': 0, 'core': -1}, '139961558882048': {'num_run': 0, 'core': -1}, '139961550489344': {'num_run': 0, 'core': -1}, '139961542096640': {'num_run': 0, 'core': -1}, '139961533703936': {'num_run': 0, 'core': -1}, '139961525311232': {'num_run': 0, 'core': -1}, '139960971687680': {'num_run': 0, 'core': -1}, '139960963294976': {'num_run': 0, 'core': -1}, '139960954902272': {'num_run': 0, 'core': -1}, '139960946509568': {'num_run': 0, 'core': -1}, '139960359315200': {'num_run': 0, 'core': -1}}}","[{'float': []}, {'float': []}]",0,8,15,4,CPUExecutionProvider,[{'float': []}]
Node,715047,715047,0,4749,X,Add_15_fence_after,Add,Add_15,,,,,,,,
Session,715047,715047,509,4242,X,SequentialExecutor::Execute,,,,,,,,,,
Session,715047,715047,549,4207,X,model_run,,,,,,,,,,
Node,715047,715047,0,4801,X,Slice_10_fence_before,Slice,Slice_10,,,,,,,,
